date,count
20 Jul 1917,50
21 Jul 1917,29
22 Jul 1917,37
23 Jul 1917,21
24 Jul 1917,12
25 Jul 1917,15
26 Jul 1917,18
27 Jul 1917,18
28 Jul 1917,25
29 Jul 1917,11
30 Jul 1917,150
31 Jul 1917,43
01 Aug 1917,37
02 Aug 1917,22
03 Aug 1917,25
04 Aug 1917,30
05 Aug 1917,23
06 Aug 1917,22
07 Aug 1917,25
08 Aug 1917,24
09 Aug 1917,31
10 Aug 1917,12
11 Aug 1917,13
12 Aug 1917,12
13 Aug 1917,25
14 Aug 1917,13
15 Aug 1917,34
16 Aug 1917,16
17 Aug 1917,20
18 Aug 1917,23
19 Aug 1917,23
20 Aug 1917,18
21 Aug 1917,21
22 Aug 1917,9
23 Aug 1917,13
24 Aug 1917,5
25 Aug 1917,15
26 Aug 1917,11
27 Aug 1917,11
28 Aug 1917,8
29 Aug 1917,11
30 Aug 1917,5
31 Aug 1917,4
01 Sep 1917,10
02 Sep 1917,2
03 Sep 1917,11
04 Sep 1917,12
05 Sep 1917,8
06 Sep 1917,5
07 Sep 1917,4
08 Sep 1917,11
09 Sep 1917,3
10 Sep 1917,13
11 Sep 1917,8
12 Sep 1917,10
13 Sep 1917,19
14 Sep 1917,17
15 Sep 1917,38
16 Sep 1917,50
17 Sep 1917,73
18 Sep 1917,65
19 Sep 1917,876
20 Sep 1917,234
21 Sep 1917,84
22 Sep 1917,88
23 Sep 1917,99
24 Sep 1917,219
25 Sep 1917,682
26 Sep 1917,238
27 Sep 1917,128
28 Sep 1917,161
29 Sep 1917,147
30 Sep 1917,152
01 Oct 1917,139
02 Oct 1917,152
03 Oct 1917,1282
04 Oct 1917,252
05 Oct 1917,127
06 Oct 1917,150
07 Oct 1917,160
08 Oct 1917,389
09 Oct 1917,98
10 Oct 1917,135
11 Oct 1917,866
12 Oct 1917,312
13 Oct 1917,125
14 Oct 1917,135
15 Oct 1917,126
16 Oct 1917,129
17 Oct 1917,95
18 Oct 1917,125
19 Oct 1917,87
20 Oct 1917,96
21 Oct 1917,86
22 Oct 1917,39
23 Oct 1917,41
24 Oct 1917,75
25 Oct 1917,54
26 Oct 1917,82
27 Oct 1917,61
28 Oct 1917,54
29 Oct 1917,48
30 Oct 1917,99
31 Oct 1917,82
01 Nov 1917,54
02 Nov 1917,93
03 Nov 1917,35
04 Nov 1917,49
05 Nov 1917,87
06 Nov 1917,71
07 Nov 1917,31
08 Nov 1917,45
09 Nov 1917,39
10 Nov 1917,18
11 Nov 1917,27
12 Nov 1917,9
13 Nov 1917,11
14 Nov 1917,23
15 Nov 1917,14
16 Nov 1917,15
17 Nov 1917,12
18 Nov 1917,17
19 Nov 1917,14
20 Nov 1917,9
21 Nov 1917,15
22 Nov 1917,11
23 Nov 1917,10
24 Nov 1917,5
25 Nov 1917,7
26 Nov 1917,14
27 Nov 1917,11
28 Nov 1917,20
29 Nov 1917,19
30 Nov 1917,32
01 Dec 1917,12
02 Dec 1917,16
03 Dec 1917,14
04 Dec 1917,3
05 Dec 1917,11
06 Dec 1917,12
07 Dec 1917,5
08 Dec 1917,3
09 Dec 1917,19
10 Dec 1917,10
11 Dec 1917,31
12 Dec 1917,13
13 Dec 1917,9
14 Dec 1917,7
15 Dec 1917,8
16 Dec 1917,10
17 Dec 1917,10
18 Dec 1917,7
19 Dec 1917,10
20 Dec 1917,10
21 Dec 1917,19
22 Dec 1917,7
23 Dec 1917,10
24 Dec 1917,12
25 Dec 1917,11
26 Dec 1917,7
27 Dec 1917,11
28 Dec 1917,13
29 Dec 1917,9
30 Dec 1917,6
31 Dec 1917,13
01 Jan 1918,13
02 Jan 1918,7
03 Jan 1918,3
04 Jan 1918,10
05 Jan 1918,12
06 Jan 1918,9
07 Jan 1918,13
08 Jan 1918,5
09 Jan 1918,6
10 Jan 1918,14
11 Jan 1918,15
12 Jan 1918,9
13 Jan 1918,8
14 Jan 1918,4
15 Jan 1918,12
16 Jan 1918,5
17 Jan 1918,5
18 Jan 1918,5
19 Jan 1918,8
20 Jan 1918,7
21 Jan 1918,7
22 Jan 1918,8
23 Jan 1918,5
24 Jan 1918,3
25 Jan 1918,9
26 Jan 1918,8
27 Jan 1918,8
28 Jan 1918,11
29 Jan 1918,7
30 Jan 1918,5
31 Jan 1918,2
01 Feb 1918,8
02 Feb 1918,5
03 Feb 1918,6
04 Feb 1918,3
05 Feb 1918,7
06 Feb 1918,9
07 Feb 1918,2
08 Feb 1918,5
09 Feb 1918,24
10 Feb 1918,6
11 Feb 1918,6
12 Feb 1918,4
13 Feb 1918,5
14 Feb 1918,2
15 Feb 1918,7
16 Feb 1918,13
17 Feb 1918,8
18 Feb 1918,7
19 Feb 1918,10
20 Feb 1918,13
21 Feb 1918,3
22 Feb 1918,3
23 Feb 1918,12
24 Feb 1918,15
25 Feb 1918,4
26 Feb 1918,10
27 Feb 1918,5
28 Feb 1918,18
01 Mar 1918,9
02 Mar 1918,15
03 Mar 1918,7
04 Mar 1918,14
05 Mar 1918,9
06 Mar 1918,5
07 Mar 1918,11
08 Mar 1918,16
09 Mar 1918,21
10 Mar 1918,19
11 Mar 1918,17
12 Mar 1918,14
13 Mar 1918,21
14 Mar 1918,16
15 Mar 1918,18
16 Mar 1918,11
